region,year,species,population
Benishangul Gumz,2019,Males < 6 months,33733
Benishangul Gumz,2020,Males < 6 months,19017
Dire Dawa,2003,Males < 6 months,2759
Dire Dawa,2004,Males < 6 months,3244
Dire Dawa,2005,Males < 6 months,2435
Dire Dawa,2006,Males < 6 months,2539
Dire Dawa,2007,Males < 6 months,4404
Dire Dawa,2008,Males < 6 months,2840
Dire Dawa,2009,Males < 6 months,2862
Dire Dawa,2010,Males < 6 months,1786
Dire Dawa,2011,Males < 6 months,2402
Dire Dawa,2012,Males < 6 months,2317
Dire Dawa,2013,Males < 6 months,2890
Dire Dawa,2014,Males < 6 months,3522
Dire Dawa,2015,Males < 6 months,2817
Dire Dawa,2016,Males < 6 months,1752
Dire Dawa,2017,Males < 6 months,4107
Dire Dawa,2018,Males < 6 months,3492
Dire Dawa,2019,Males < 6 months,4965
Dire Dawa,2020,Males < 6 months,6424
Gambela,2003,Males < 6 months,0
Gambela,2004,Males < 6 months,0
Gambela,2005,Males < 6 months,0
Gambela,2006,Males < 6 months,0
Gambela,2007,Males < 6 months,12966
Gambela,2008,Males < 6 months,7487
Gambela,2009,Males < 6 months,11883
Gambela,2010,Males < 6 months,16172
Gambela,2011,Males < 6 months,14333
Gambela,2012,Males < 6 months,12979
Gambela,2013,Males < 6 months,13847
Gambela,2014,Males < 6 months,13557
Gambela,2015,Males < 6 months,11358
Gambela,2016,Males < 6 months,12074
Gambela,2017,Males < 6 months,11415
Gambela,2018,Males < 6 months,15755
Gambela,2019,Males < 6 months,27315
Gambela,2020,Males < 6 months,17652
Harari,2003,Males < 6 months,2473
Harari,2004,Males < 6 months,2047
Harari,2005,Males < 6 months,2268
Harari,2006,Males < 6 months,2815
Harari,2007,Males < 6 months,2004
Harari,2008,Males < 6 months,2650
Harari,2009,Males < 6 months,2222
Harari,2010,Males < 6 months,3189
Harari,2011,Males < 6 months,2447
Harari,2012,Males < 6 months,2510
Harari,2013,Males < 6 months,3494
Harari,2014,Males < 6 months,3842
Harari,2015,Males < 6 months,3738
Harari,2016,Males < 6 months,4597
Harari,2017,Males < 6 months,3584
Harari,2018,Males < 6 months,2776
Harari,2019,Males < 6 months,4008
Harari,2020,Males < 6 months,2372
Oromoa,2003,Males < 6 months,821520
Oromoa,2004,Males < 6 months,776165
Oromoa,2005,Males < 6 months,855027
Oromoa,2006,Males < 6 months,938348
Oromoa,2007,Males < 6 months,1006594
Oromoa,2008,Males < 6 months,963008
Oromoa,2009,Males < 6 months,1140845
Oromoa,2010,Males < 6 months,968899
Oromoa,2011,Males < 6 months,1009464
Oromoa,2012,Males < 6 months,1083656
Oromoa,2013,Males < 6 months,1031391
Oromoa,2014,Males < 6 months,1023834
Oromoa,2015,Males < 6 months,990487
Oromoa,2016,Males < 6 months,1095586
Oromoa,2017,Males < 6 months,982141
Oromoa,2018,Males < 6 months,1120877
Oromoa,2019,Males < 6 months,103046
Oromoa,2020,Males < 6 months,104079
SNNPR,2003,Males < 6 months,398985
SNNPR,2004,Males < 6 months,417143
SNNPR,2005,Males < 6 months,395027
SNNPR,2006,Males < 6 months,430443
SNNPR,2007,Males < 6 months,472031
SNNPR,2008,Males < 6 months,432700
SNNPR,2009,Males < 6 months,568695
SNNPR,2010,Males < 6 months,560557
SNNPR,2011,Males < 6 months,520037
SNNPR,2012,Males < 6 months,556196
SNNPR,2013,Males < 6 months,562533
SNNPR,2014,Males < 6 months,522772
SNNPR,2015,Males < 6 months,494221
SNNPR,2016,Males < 6 months,568752
SNNPR,2017,Males < 6 months,560091
SNNPR,2018,Males < 6 months,578189
SNNPR,2019,Males < 6 months,548019
SNNPR,2020,Males < 6 months,426447
Somali,2003,Males < 6 months,25505
Somali,2004,Males < 6 months,33487
Somali,2005,Males < 6 months,42696
Somali,2006,Males < 6 months,45076
Somali,2007,Males < 6 months,51135
Somali,2008,Males < 6 months,39012
Somali,2009,Males < 6 months,31876
Somali,2010,Males < 6 months,39236
Somali,2011,Males < 6 months,32230
Somali,2012,Males < 6 months,47413
Somali,2013,Males < 6 months,46868
Somali,2014,Males < 6 months,59930
Somali,2015,Males < 6 months,48756
Somali,2016,Males < 6 months,38638
Somali,2017,Males < 6 months,51150
Somali,2018,Males < 6 months,51150
Somali,2019,Males < 6 months,244159
Somali,2020,Males < 6 months,380036
Tigray,2003,Males < 6 months,94349
Tigray,2004,Males < 6 months,128769
Tigray,2005,Males < 6 months,119256
Tigray,2006,Males < 6 months,145743
Tigray,2007,Males < 6 months,150372
Tigray,2008,Males < 6 months,138030
Tigray,2009,Males < 6 months,133804
Tigray,2010,Males < 6 months,163616
Tigray,2011,Males < 6 months,170868
Tigray,2012,Males < 6 months,195270
Tigray,2013,Males < 6 months,202772
Tigray,2014,Males < 6 months,222571
Tigray,2015,Males < 6 months,213767
Tigray,2016,Males < 6 months,209138
Tigray,2017,Males < 6 months,213992
Tigray,2018,Males < 6 months,243562
Tigray,2019,Males < 6 months,2073788
Tigray,2020,Males < 6 months,207378
Addis Ababa,2003,Males 6 months to < 1 year,1598
Addis Ababa,2004,Males 6 months to < 1 year,507
Addis Ababa,2005,Males 6 months to < 1 year,787
Addis Ababa,2006,Males 6 months to < 1 year,992
Addis Ababa,2007,Males 6 months to < 1 year,0
Addis Ababa,2008,Males 6 months to < 1 year,0
Addis Ababa,2009,Males 6 months to < 1 year,0
Addis Ababa,2010,Males 6 months to < 1 year,0
Addis Ababa,2011,Males 6 months to < 1 year,0
Addis Ababa,2012,Males 6 months to < 1 year,0
Addis Ababa,2013,Males 6 months to < 1 year,0
Addis Ababa,2014,Males 6 months to < 1 year,0
Addis Ababa,2015,Males 6 months to < 1 year,0
Addis Ababa,2016,Males 6 months to < 1 year,0
Addis Ababa,2017,Males 6 months to < 1 year,0
Addis Ababa,2018,Males 6 months to < 1 year,0
Addis Ababa,2019,Males 6 months to < 1 year,0
Addis Ababa,2020,Males 6 months to < 1 year,0
Afar,2003,Males 6 months to < 1 year,10968
Afar,2004,Males 6 months to < 1 year,10857
Afar,2005,Males 6 months to < 1 year,13008
Afar,2006,Males 6 months to < 1 year,13181
Afar,2007,Males 6 months to < 1 year,18805
Afar,2008,Males 6 months to < 1 year,17177
Afar,2009,Males 6 months to < 1 year,20414
Afar,2010,Males 6 months to < 1 year,32563
Afar,2011,Males 6 months to < 1 year,34056
Afar,2012,Males 6 months to < 1 year,39272
Afar,2013,Males 6 months to < 1 year,56382
Afar,2014,Males 6 months to < 1 year,59487
Afar,2015,Males 6 months to < 1 year,56047
Afar,2016,Males 6 months to < 1 year,61258
Afar,2017,Males 6 months to < 1 year,78118
Afar,2018,Males 6 months to < 1 year,59607
Afar,2019,Males 6 months to < 1 year,81040
Afar,2020,Males 6 months to < 1 year,80263
Amhara,2003,Males 6 months to < 1 year,325904
Amhara,2004,Males 6 months to < 1 year,274754
Amhara,2005,Males 6 months to < 1 year,280626
Amhara,2006,Males 6 months to < 1 year,325362
Amhara,2007,Males 6 months to < 1 year,397612
Amhara,2008,Males 6 months to < 1 year,400581
Amhara,2009,Males 6 months to < 1 year,401285
Amhara,2010,Males 6 months to < 1 year,378167
Amhara,2011,Males 6 months to < 1 year,425722
Amhara,2012,Males 6 months to < 1 year,442452
Amhara,2013,Males 6 months to < 1 year,397144
Amhara,2014,Males 6 months to < 1 year,438106
Amhara,2015,Males 6 months to < 1 year,631142
Amhara,2016,Males 6 months to < 1 year,509933
Amhara,2017,Males 6 months to < 1 year,537791
Amhara,2018,Males 6 months to < 1 year,634847
Amhara,2019,Males 6 months to < 1 year,497796
Amhara,2020,Males 6 months to < 1 year,596406
Benishangul Gumz,2003,Males 6 months to < 1 year,12773
Benishangul Gumz,2004,Males 6 months to < 1 year,13911
Benishangul Gumz,2005,Males 6 months to < 1 year,16450
Benishangul Gumz,2006,Males 6 months to < 1 year,16599
Benishangul Gumz,2007,Males 6 months to < 1 year,18436
Benishangul Gumz,2008,Males 6 months to < 1 year,18025
Benishangul Gumz,2009,Males 6 months to < 1 year,21220
Benishangul Gumz,2010,Males 6 months to < 1 year,24675
Benishangul Gumz,2011,Males 6 months to < 1 year,20755
Benishangul Gumz,2012,Males 6 months to < 1 year,26003
Benishangul Gumz,2013,Males 6 months to < 1 year,23017
Benishangul Gumz,2014,Males 6 months to < 1 year,30641
Benishangul Gumz,2015,Males 6 months to < 1 year,43094
Benishangul Gumz,2016,Males 6 months to < 1 year,38021
Benishangul Gumz,2017,Males 6 months to < 1 year,35805
Benishangul Gumz,2018,Males 6 months to < 1 year,32504
Benishangul Gumz,2019,Males 6 months to < 1 year,23678
Benishangul Gumz,2020,Males 6 months to < 1 year,25293
Dire Dawa,2003,Males 6 months to < 1 year,2207
Dire Dawa,2004,Males 6 months to < 1 year,1241
Dire Dawa,2005,Males 6 months to < 1 year,1776
Dire Dawa,2006,Males 6 months to < 1 year,1530
Dire Dawa,2007,Males 6 months to < 1 year,2283
Dire Dawa,2008,Males 6 months to < 1 year,2432
Dire Dawa,2009,Males 6 months to < 1 year,1789
Dire Dawa,2010,Males 6 months to < 1 year,1622
Dire Dawa,2011,Males 6 months to < 1 year,2410
Dire Dawa,2012,Males 6 months to < 1 year,1891
Dire Dawa,2013,Males 6 months to < 1 year,1702
Dire Dawa,2014,Males 6 months to < 1 year,2008
Dire Dawa,2015,Males 6 months to < 1 year,2829
Dire Dawa,2016,Males 6 months to < 1 year,2246
Dire Dawa,2017,Males 6 months to < 1 year,2491
Dire Dawa,2018,Males 6 months to < 1 year,2518
Dire Dawa,2019,Males 6 months to < 1 year,2912
Dire Dawa,2020,Males 6 months to < 1 year,2674
Gambela,2003,Males 6 months to < 1 year,0
Gambela,2004,Males 6 months to < 1 year,0
Gambela,2005,Males 6 months to < 1 year,0
Gambela,2006,Males 6 months to < 1 year,0
Gambela,2007,Males 6 months to < 1 year,10061
Gambela,2008,Males 6 months to < 1 year,6823
Gambela,2009,Males 6 months to < 1 year,11526
Gambela,2010,Males 6 months to < 1 year,16653
Gambela,2011,Males 6 months to < 1 year,12698
Gambela,2012,Males 6 months to < 1 year,15175
Gambela,2013,Males 6 months to < 1 year,14091
Gambela,2014,Males 6 months to < 1 year,15361
Gambela,2015,Males 6 months to < 1 year,15731
Gambela,2016,Males 6 months to < 1 year,12296
Gambela,2017,Males 6 months to < 1 year,14362
Gambela,2018,Males 6 months to < 1 year,17662
Gambela,2019,Males 6 months to < 1 year,11876
Gambela,2020,Males 6 months to < 1 year,20531
Harari,2003,Males 6 months to < 1 year,1685
Harari,2004,Males 6 months to < 1 year,1483
Harari,2005,Males 6 months to < 1 year,1907
Harari,2006,Males 6 months to < 1 year,1857
Harari,2007,Males 6 months to < 1 year,2031
Harari,2008,Males 6 months to < 1 year,2457
Harari,2009,Males 6 months to < 1 year,2026
Harari,2010,Males 6 months to < 1 year,2302
Harari,2011,Males 6 months to < 1 year,2734
Harari,2012,Males 6 months to < 1 year,2539
Harari,2013,Males 6 months to < 1 year,3240
Harari,2014,Males 6 months to < 1 year,3539
Harari,2015,Males 6 months to < 1 year,3303
Harari,2016,Males 6 months to < 1 year,3188
Harari,2017,Males 6 months to < 1 year,4025
Harari,2018,Males 6 months to < 1 year,4042
Harari,2019,Males 6 months to < 1 year,2932
Harari,2020,Males 6 months to < 1 year,3626
Oromoa,2003,Males 6 months to < 1 year,689355
Oromoa,2004,Males 6 months to < 1 year,650686
Oromoa,2005,Males 6 months to < 1 year,748710
Oromoa,2006,Males 6 months to < 1 year,866632
Oromoa,2007,Males 6 months to < 1 year,953817
Oromoa,2008,Males 6 months to < 1 year,948712
Oromoa,2009,Males 6 months to < 1 year,792263
Oromoa,2010,Males 6 months to < 1 year,1017417
Oromoa,2011,Males 6 months to < 1 year,952069
Oromoa,2012,Males 6 months to < 1 year,787970
Oromoa,2013,Males 6 months to < 1 year,919877
Oromoa,2014,Males 6 months to < 1 year,980257
Oromoa,2015,Males 6 months to < 1 year,1018172
Oromoa,2016,Males 6 months to < 1 year,996983
Oromoa,2017,Males 6 months to < 1 year,1132244
Oromoa,2018,Males 6 months to < 1 year,1088188
Oromoa,2019,Males 6 months to < 1 year,1057325
Oromoa,2020,Males 6 months to < 1 year,1015468
SNNPR,2003,Males 6 months to < 1 year,392636
SNNPR,2004,Males 6 months to < 1 year,330030
SNNPR,2005,Males 6 months to < 1 year,356040
SNNPR,2006,Males 6 months to < 1 year,363414
SNNPR,2007,Males 6 months to < 1 year,447760
SNNPR,2008,Males 6 months to < 1 year,386094
SNNPR,2009,Males 6 months to < 1 year,415470
SNNPR,2010,Males 6 months to < 1 year,556434
SNNPR,2011,Males 6 months to < 1 year,522150
SNNPR,2012,Males 6 months to < 1 year,490001
SNNPR,2013,Males 6 months to < 1 year,514457
SNNPR,2014,Males 6 months to < 1 year,555414
SNNPR,2015,Males 6 months to < 1 year,532563
SNNPR,2016,Males 6 months to < 1 year,547381
SNNPR,2017,Males 6 months to < 1 year,548705
SNNPR,2018,Males 6 months to < 1 year,600226
SNNPR,2019,Males 6 months to < 1 year,576293
SNNPR,2020,Males 6 months to < 1 year,478310
Somali,2003,Males 6 months to < 1 year,22209
Somali,2004,Males 6 months to < 1 year,19335
Somali,2005,Males 6 months to < 1 year,21108
Somali,2006,Males 6 months to < 1 year,28614
Somali,2007,Males 6 months to < 1 year,31646
Somali,2008,Males 6 months to < 1 year,35428
Somali,2009,Males 6 months to < 1 year,26311
Somali,2010,Males 6 months to < 1 year,23853
Somali,2011,Males 6 months to < 1 year,26912
Somali,2012,Males 6 months to < 1 year,24802
Somali,2013,Males 6 months to < 1 year,28283
Somali,2014,Males 6 months to < 1 year,28373
Somali,2015,Males 6 months to < 1 year,27578
Somali,2016,Males 6 months to < 1 year,24756
Somali,2017,Males 6 months to < 1 year,24727
Somali,2018,Males 6 months to < 1 year,24727
Somali,2019,Males 6 months to < 1 year,173720
Somali,2020,Males 6 months to < 1 year,306013
Tigray,2003,Males 6 months to < 1 year,108990
Tigray,2004,Males 6 months to < 1 year,80100
Tigray,2005,Males 6 months to < 1 year,88128
Tigray,2006,Males 6 months to < 1 year,85417
Tigray,2007,Males 6 months to < 1 year,105291
Tigray,2008,Males 6 months to < 1 year,118322
Tigray,2009,Males 6 months to < 1 year,119977
Tigray,2010,Males 6 months to < 1 year,123275
Tigray,2011,Males 6 months to < 1 year,123638
Tigray,2012,Males 6 months to < 1 year,142168
Tigray,2013,Males 6 months to < 1 year,141121
Tigray,2014,Males 6 months to < 1 year,149243
Tigray,2015,Males 6 months to < 1 year,162942
Tigray,2016,Males 6 months to < 1 year,144170
Tigray,2017,Males 6 months to < 1 year,182734
Tigray,2018,Males 6 months to < 1 year,170926
Tigray,2019,Males 6 months to < 1 year,137749
Tigray,2020,Males 6 months to < 1 year,137749
Addis Ababa,2003,Males 1 year to < 3 years,5426
Addis Ababa,2004,Males 1 year to < 3 years,1362
Addis Ababa,2005,Males 1 year to < 3 years,1613
Addis Ababa,2006,Males 1 year to < 3 years,1793
Addis Ababa,2007,Males 1 year to < 3 years,0
Addis Ababa,2008,Males 1 year to < 3 years,0
Addis Ababa,2009,Males 1 year to < 3 years,0
Addis Ababa,2010,Males 1 year to < 3 years,0
Addis Ababa,2011,Males 1 year to < 3 years,0
Addis Ababa,2012,Males 1 year to < 3 years,0
Addis Ababa,2013,Males 1 year to < 3 years,0
Addis Ababa,2014,Males 1 year to < 3 years,0
Addis Ababa,2015,Males 1 year to < 3 years,0
Addis Ababa,2016,Males 1 year to < 3 years,0
Addis Ababa,2017,Males 1 year to < 3 years,0
Addis Ababa,2018,Males 1 year to < 3 years,0
Addis Ababa,2019,Males 1 year to < 3 years,0
Addis Ababa,2020,Males 1 year to < 3 years,0
Afar,2003,Males 1 year to < 3 years,15617
Afar,2004,Males 1 year to < 3 years,10296
Afar,2005,Males 1 year to < 3 years,13978
Afar,2006,Males 1 year to < 3 years,20128
Afar,2007,Males 1 year to < 3 years,17561
Afar,2008,Males 1 year to < 3 years,17802
Afar,2009,Males 1 year to < 3 years,19540
Afar,2010,Males 1 year to < 3 years,32541
Afar,2011,Males 1 year to < 3 years,38459
Afar,2012,Males 1 year to < 3 years,49694
Afar,2013,Males 1 year to < 3 years,47930
Afar,2014,Males 1 year to < 3 years,74548
Afar,2015,Males 1 year to < 3 years,61666
Afar,2016,Males 1 year to < 3 years,36222
Afar,2017,Males 1 year to < 3 years,38210
Afar,2018,Males 1 year to < 3 years,67750
Afar,2019,Males 1 year to < 3 years,83980
Afar,2020,Males 1 year to < 3 years,74233
Amhara,2003,Males 1 year to < 3 years,697799
Amhara,2004,Males 1 year to < 3 years,727612
Amhara,2005,Males 1 year to < 3 years,689129
Amhara,2006,Males 1 year to < 3 years,725006
Amhara,2007,Males 1 year to < 3 years,862832
Amhara,2008,Males 1 year to < 3 years,918785
Amhara,2009,Males 1 year to < 3 years,877889
Amhara,2010,Males 1 year to < 3 years,926626
Amhara,2011,Males 1 year to < 3 years,996110
Amhara,2012,Males 1 year to < 3 years,1044531
Amhara,2013,Males 1 year to < 3 years,1134894
Amhara,2014,Males 1 year to < 3 years,1133867
Amhara,2015,Males 1 year to < 3 years,1160788
Amhara,2016,Males 1 year to < 3 years,1252967
Amhara,2017,Males 1 year to < 3 years,1294457
Amhara,2018,Males 1 year to < 3 years,1295470
Amhara,2019,Males 1 year to < 3 years,1265824
Amhara,2020,Males 1 year to < 3 years,1446834
Benishangul Gumz,2003,Males 1 year to < 3 years,21348
Benishangul Gumz,2004,Males 1 year to < 3 years,25536
Benishangul Gumz,2005,Males 1 year to < 3 years,28564
Benishangul Gumz,2006,Males 1 year to < 3 years,23354
Benishangul Gumz,2007,Males 1 year to < 3 years,33210
Benishangul Gumz,2008,Males 1 year to < 3 years,32185
Benishangul Gumz,2009,Males 1 year to < 3 years,35750
Benishangul Gumz,2010,Males 1 year to < 3 years,38312
Benishangul Gumz,2011,Males 1 year to < 3 years,46558
Benishangul Gumz,2012,Males 1 year to < 3 years,41987
Benishangul Gumz,2013,Males 1 year to < 3 years,46751
Benishangul Gumz,2014,Males 1 year to < 3 years,56604
Benishangul Gumz,2015,Males 1 year to < 3 years,62384
Benishangul Gumz,2016,Males 1 year to < 3 years,63038
Benishangul Gumz,2017,Males 1 year to < 3 years,80964
Benishangul Gumz,2018,Males 1 year to < 3 years,60262
Benishangul Gumz,2019,Males 1 year to < 3 years,54694
Benishangul Gumz,2020,Males 1 year to < 3 years,53598
Dire Dawa,2003,Males 1 year to < 3 years,4269
Dire Dawa,2004,Males 1 year to < 3 years,3698
Dire Dawa,2005,Males 1 year to < 3 years,4141
Dire Dawa,2006,Males 1 year to < 3 years,4831
Dire Dawa,2007,Males 1 year to < 3 years,4967
Dire Dawa,2008,Males 1 year to < 3 years,6470
Dire Dawa,2009,Males 1 year to < 3 years,5135
Dire Dawa,2010,Males 1 year to < 3 years,4625
Dire Dawa,2011,Males 1 year to < 3 years,5830
Dire Dawa,2012,Males 1 year to < 3 years,5968
Dire Dawa,2013,Males 1 year to < 3 years,5162
Dire Dawa,2014,Males 1 year to < 3 years,5118
Dire Dawa,2015,Males 1 year to < 3 years,6567
Dire Dawa,2016,Males 1 year to < 3 years,6209
Dire Dawa,2017,Males 1 year to < 3 years,5839
Dire Dawa,2018,Males 1 year to < 3 years,4786
Dire Dawa,2019,Males 1 year to < 3 years,7094
Dire Dawa,2020,Males 1 year to < 3 years,8155
Gambela,2003,Males 1 year to < 3 years,0
Gambela,2004,Males 1 year to < 3 years,0
Gambela,2005,Males 1 year to < 3 years,0
Gambela,2006,Males 1 year to < 3 years,0
Gambela,2007,Males 1 year to < 3 years,19718
Gambela,2008,Males 1 year to < 3 years,8931
Gambela,2009,Males 1 year to < 3 years,0
Gambela,2010,Males 1 year to < 3 years,15842
Gambela,2011,Males 1 year to < 3 years,18418
Gambela,2012,Males 1 year to < 3 years,17606
Gambela,2013,Males 1 year to < 3 years,17624
Gambela,2014,Males 1 year to < 3 years,14843
Gambela,2015,Males 1 year to < 3 years,19984
Gambela,2016,Males 1 year to < 3 years,21531
Gambela,2017,Males 1 year to < 3 years,18050
Gambela,2018,Males 1 year to < 3 years,16294
Gambela,2019,Males 1 year to < 3 years,21684
Gambela,2020,Males 1 year to < 3 years,28346
Harari,2003,Males 1 year to < 3 years,2702
Harari,2004,Males 1 year to < 3 years,2809
Harari,2005,Males 1 year to < 3 years,3748
Harari,2006,Males 1 year to < 3 years,3322
Harari,2007,Males 1 year to < 3 years,3950
Harari,2008,Males 1 year to < 3 years,4596
Harari,2009,Males 1 year to < 3 years,4763
Harari,2010,Males 1 year to < 3 years,5588
Harari,2011,Males 1 year to < 3 years,5719
Harari,2012,Males 1 year to < 3 years,5408
Harari,2013,Males 1 year to < 3 years,6260
Harari,2014,Males 1 year to < 3 years,7182
Harari,2015,Males 1 year to < 3 years,7370
Harari,2016,Males 1 year to < 3 years,7798
Harari,2017,Males 1 year to < 3 years,8744
Harari,2018,Males 1 year to < 3 years,6728
Harari,2019,Males 1 year to < 3 years,7879
Harari,2020,Males 1 year to < 3 years,10056
Oromoa,2003,Males 1 year to < 3 years,1349018
Oromoa,2004,Males 1 year to < 3 years,1340286
Oromoa,2005,Males 1 year to < 3 years,1269717
Oromoa,2006,Males 1 year to < 3 years,1404166
Oromoa,2007,Males 1 year to < 3 years,1609530
Oromoa,2008,Males 1 year to < 3 years,1727554
Oromoa,2009,Males 1 year to < 3 years,1646883
Oromoa,2010,Males 1 year to < 3 years,1610162
Oromoa,2011,Males 1 year to < 3 years,1669442
Oromoa,2012,Males 1 year to < 3 years,1715787
Oromoa,2013,Males 1 year to < 3 years,1749564
Oromoa,2014,Males 1 year to < 3 years,1768784
Oromoa,2015,Males 1 year to < 3 years,1804786
Oromoa,2016,Males 1 year to < 3 years,1774387
Oromoa,2017,Males 1 year to < 3 years,1868136
Oromoa,2018,Males 1 year to < 3 years,1883303
Oromoa,2019,Males 1 year to < 3 years,2017257
Oromoa,2020,Males 1 year to < 3 years,2117263
SNNPR,2003,Males 1 year to < 3 years,588802
SNNPR,2004,Males 1 year to < 3 years,586661
SNNPR,2005,Males 1 year to < 3 years,562740
SNNPR,2006,Males 1 year to < 3 years,537504
SNNPR,2007,Males 1 year to < 3 years,640608
SNNPR,2008,Males 1 year to < 3 years,605605
SNNPR,2009,Males 1 year to < 3 years,656918
SNNPR,2010,Males 1 year to < 3 years,694686
SNNPR,2011,Males 1 year to < 3 years,689364
SNNPR,2012,Males 1 year to < 3 years,751125
SNNPR,2013,Males 1 year to < 3 years,718035
SNNPR,2014,Males 1 year to < 3 years,765450
SNNPR,2015,Males 1 year to < 3 years,692904
SNNPR,2016,Males 1 year to < 3 years,841859
SNNPR,2017,Males 1 year to < 3 years,860615
SNNPR,2018,Males 1 year to < 3 years,962812
SNNPR,2019,Males 1 year to < 3 years,892673
SNNPR,2020,Males 1 year to < 3 years,1034353
Somali,2003,Males 1 year to < 3 years,28303
Somali,2004,Males 1 year to < 3 years,29312
Somali,2005,Males 1 year to < 3 years,34610
Somali,2006,Males 1 year to < 3 years,35878
Somali,2007,Males 1 year to < 3 years,34100
Somali,2008,Males 1 year to < 3 years,33710
Somali,2009,Males 1 year to < 3 years,37381
Somali,2010,Males 1 year to < 3 years,34931
Somali,2011,Males 1 year to < 3 years,35045
Somali,2012,Males 1 year to < 3 years,37169
Somali,2013,Males 1 year to < 3 years,49051
Somali,2014,Males 1 year to < 3 years,39602
Somali,2015,Males 1 year to < 3 years,47551
Somali,2016,Males 1 year to < 3 years,37899
Somali,2017,Males 1 year to < 3 years,44639
Somali,2018,Males 1 year to < 3 years,44639
Somali,2019,Males 1 year to < 3 years,247534
Somali,2020,Males 1 year to < 3 years,407957
Tigray,2003,Males 1 year to < 3 years,185406
Tigray,2004,Males 1 year to < 3 years,188433
Tigray,2005,Males 1 year to < 3 years,183743
Tigray,2006,Males 1 year to < 3 years,202899
Tigray,2007,Males 1 year to < 3 years,216377
Tigray,2008,Males 1 year to < 3 years,210308
Tigray,2009,Males 1 year to < 3 years,224886
Tigray,2010,Males 1 year to < 3 years,243496
Tigray,2011,Males 1 year to < 3 years,225324
Tigray,2012,Males 1 year to < 3 years,295396
Tigray,2013,Males 1 year to < 3 years,320603
Tigray,2014,Males 1 year to < 3 years,347588
Tigray,2015,Males 1 year to < 3 years,358420
Tigray,2016,Males 1 year to < 3 years,382576
Tigray,2017,Males 1 year to < 3 years,366498
Tigray,2018,Males 1 year to < 3 years,352923
Tigray,2019,Males 1 year to < 3 years,318496
Tigray,2020,Males 1 year to < 3 years,318496
Addis Ababa,2003,Males 3 years to < 10 years,25490
Addis Ababa,2004,Males 3 years to < 10 years,7795
Addis Ababa,2005,Males 3 years to < 10 years,10695
Addis Ababa,2006,Males 3 years to < 10 years,11102
Addis Ababa,2007,Males 3 years to < 10 years,0
Addis Ababa,2008,Males 3 years to < 10 years,0
Addis Ababa,2009,Males 3 years to < 10 years,0
