region,year,species,population
Addis Ababa,2003,Males < 6 months,1370
Addis Ababa,2004,Males < 6 months,494
Addis Ababa,2005,Males < 6 months,620
Addis Ababa,2006,Males < 6 months,724
Addis Ababa,2007,Males < 6 months,0
Addis Ababa,2008,Males < 6 months,0
Addis Ababa,2009,Males < 6 months,0
Addis Ababa,2010,Males < 6 months,0
Addis Ababa,2011,Males < 6 months,0
Addis Ababa,2012,Males < 6 months,0
Addis Ababa,2013,Males < 6 months,0
Addis Ababa,2014,Males < 6 months,0
Addis Ababa,2015,Males < 6 months,0
Addis Ababa,2016,Males < 6 months,0
Addis Ababa,2017,Males < 6 months,0
Addis Ababa,2018,Males < 6 months,0
Addis Ababa,2019,Males < 6 months,0
Addis Ababa,2020,Males < 6 months,0
Afar,2003,Males < 6 months,23915
Afar,2004,Males < 6 months,21730
Afar,2005,Males < 6 months,16041
Afar,2006,Males < 6 months,21480
Afar,2007,Males < 6 months,22188
Afar,2008,Males < 6 months,28253
Afar,2009,Males < 6 months,27081
Afar,2010,Males < 6 months,41740
Afar,2011,Males < 6 months,53163
Afar,2012,Males < 6 months,67211
Afar,2013,Males < 6 months,86694
Afar,2014,Males < 6 months,72300
Afar,2015,Males < 6 months,77566
Afar,2016,Males < 6 months,64281
Afar,2017,Males < 6 months,78992
Afar,2018,Males < 6 months,132214
Afar,2019,Males < 6 months,140584
Afar,2020,Males < 6 months,133286
Amhara,2003,Males < 6 months,403140
Amhara,2004,Males < 6 months,340472
Amhara,2005,Males < 6 months,395746
Amhara,2006,Males < 6 months,400300
Amhara,2007,Males < 6 months,445297
Amhara,2008,Males < 6 months,466750
Amhara,2009,Males < 6 months,510884
Amhara,2010,Males < 6 months,532240
Amhara,2011,Males < 6 months,517018
Amhara,2012,Males < 6 months,557524
Amhara,2013,Males < 6 months,539312
Amhara,2014,Males < 6 months,574726
Amhara,2015,Males < 6 months,599503
Amhara,2016,Males < 6 months,669419
Amhara,2017,Males < 6 months,685633
Amhara,2018,Males < 6 months,633260
Amhara,2019,Males < 6 months,643495
Amhara,2020,Males < 6 months,548148
Benishangul Gumz,2003,Males < 6 months,12217
Benishangul Gumz,2004,Males < 6 months,15774
Benishangul Gumz,2005,Males < 6 months,18849
Benishangul Gumz,2006,Males < 6 months,12956
Benishangul Gumz,2007,Males < 6 months,13528
Benishangul Gumz,2008,Males < 6 months,17245
Benishangul Gumz,2009,Males < 6 months,16492
Benishangul Gumz,2010,Males < 6 months,20713
Benishangul Gumz,2011,Males < 6 months,21957
Benishangul Gumz,2012,Males < 6 months,25624
Benishangul Gumz,2013,Males < 6 months,24270
Benishangul Gumz,2014,Males < 6 months,29310
Benishangul Gumz,2015,Males < 6 months,20966
Benishangul Gumz,2016,Males < 6 months,30044
Benishangul Gumz,2017,Males < 6 months,34152
Benishangul Gumz,2018,Males < 6 months,25128
