year,region,species,population
2003,SNNPR,Total Cocks,585471
2004,SNNPR,Total Cocks,600555
2005,SNNPR,Total Cocks,575776
2006,SNNPR,Total Cocks,619811
2007,SNNPR,Total Cocks,817181
2008,SNNPR,Total Cocks,627968
2009,SNNPR,Total Cocks,937630
2010,SNNPR,Total Cocks,1223503
2011,SNNPR,Total Cocks,679976
2012,SNNPR,Total Cocks,991047
2013,SNNPR,Total Cocks,1066436
2014,SNNPR,Total Cocks,1131045
2015,SNNPR,Total Cocks,1108573
2016,SNNPR,Total Cocks,1224318
2017,SNNPR,Total Cocks,1086585
2018,SNNPR,Total Cocks,1010003
2019,SNNPR,Total Cocks,964833
2020,SNNPR,Total Cocks,937527
2003,Somali,Total Cocks,24279
2004,Somali,Total Cocks,21374
2005,Somali,Total Cocks,14590
2006,Somali,Total Cocks,18272
2007,Somali,Total Cocks,18134
2008,Somali,Total Cocks,10486
2009,Somali,Total Cocks,8225
2010,Somali,Total Cocks,16357
2011,Somali,Total Cocks,16573
2012,Somali,Total Cocks,28180
2013,Somali,Total Cocks,29404
2014,Somali,Total Cocks,26341
2015,Somali,Total Cocks,24163
2016,Somali,Total Cocks,26076
2017,Somali,Total Cocks,0
2018,Somali,Total Cocks,0
2019,Somali,Total Cocks,237531
2020,Somali,Total Cocks,50949
2003,Tigray,Total Cocks,276409
2004,Tigray,Total Cocks,280458
2005,Tigray,Total Cocks,264794
2006,Tigray,Total Cocks,279628
2007,Tigray,Total Cocks,382799
2008,Tigray,Total Cocks,383861
2009,Tigray,Total Cocks,394067
2010,Tigray,Total Cocks,434837
2011,Tigray,Total Cocks,438094
2012,Tigray,Total Cocks,470726
2013,Tigray,Total Cocks,489610
2014,Tigray,Total Cocks,532629
2015,Tigray,Total Cocks,451969
2016,Tigray,Total Cocks,436229
2017,Tigray,Total Cocks,497931
2018,Tigray,Total Cocks,454633
2019,Tigray,Total Cocks,566311
2020,Tigray,Total Cocks,566311
2003,Addis Ababa,Total Cockerels,3512
2004,Addis Ababa,Total Cockerels,949
2005,Addis Ababa,Total Cockerels,698
2006,Addis Ababa,Total Cockerels,486
2007,Addis Ababa,Total Cockerels,0
2008,Addis Ababa,Total Cockerels,0
2009,Addis Ababa,Total Cockerels,0
2010,Addis Ababa,Total Cockerels,0
2011,Addis Ababa,Total Cockerels,0
2012,Addis Ababa,Total Cockerels,0
2013,Addis Ababa,Total Cockerels,0
2014,Addis Ababa,Total Cockerels,0
2015,Addis Ababa,Total Cockerels,0
2016,Addis Ababa,Total Cockerels,0
2017,Addis Ababa,Total Cockerels,0
2018,Addis Ababa,Total Cockerels,0
2010,Addis Ababa,Total Cockerels,0
2020,Addis Ababa,Total Cockerels,0
2003,Afar,Total Cockerels,2446
2004,Afar,Total Cockerels,2172
2005,Afar,Total Cockerels,2999
2006,Afar,Total Cockerels,1964
2007,Afar,Total Cockerels,4163
2008,Afar,Total Cockerels,1711
2009,Afar,Total Cockerels,1358
2010,Afar,Total Cockerels,3584
2011,Afar,Total Cockerels,3901
2012,Afar,Total Cockerels,2823
2013,Afar,Total Cockerels,7215
2014,Afar,Total Cockerels,7917
2015,Afar,Total Cockerels,9207
2016,Afar,Total Cockerels,13162
2017,Afar,Total Cockerels,12234
2018,Afar,Total Cockerels,9459
2019,Afar,Total Cockerels,0
2020,Afar,Total Cockerels,4640
2003,Amhara,Total Cockerels,556999
2004,Amhara,Total Cockerels,367978
2005,Amhara,Total Cockerels,383553
2006,Amhara,Total Cockerels,450581
2007,Amhara,Total Cockerels,592228
2008,Amhara,Total Cockerels,557002
2009,Amhara,Total Cockerels,572546
2010,Amhara,Total Cockerels,697807
2011,Amhara,Total Cockerels,654223
2012,Amhara,Total Cockerels,771727
2013,Amhara,Total Cockerels,703580
2014,Amhara,Total Cockerels,981692
2015,Amhara,Total Cockerels,1064712
2016,Amhara,Total Cockerels,1054107
2017,Amhara,Total Cockerels,879476
2018,Amhara,Total Cockerels,1354485
2019,Amhara,Total Cockerels,964862
2020,Amhara,Total Cockerels,1161730
2003,Benishangul Gumz,Total Cockerels,57395
2004,Benishangul Gumz,Total Cockerels,44467
2005,Benishangul Gumz,Total Cockerels,38915
2006,Benishangul Gumz,Total Cockerels,49680
2007,Benishangul Gumz,Total Cockerels,49068
2008,Benishangul Gumz,Total Cockerels,48806
2009,Benishangul Gumz,Total Cockerels,60804
2010,Benishangul Gumz,Total Cockerels,82678
2011,Benishangul Gumz,Total Cockerels,82242
2012,Benishangul Gumz,Total Cockerels,81103
2013,Benishangul Gumz,Total Cockerels,73728
2014,Benishangul Gumz,Total Cockerels,92948
2015,Benishangul Gumz,Total Cockerels,90770
2016,Benishangul Gumz,Total Cockerels,81339
2017,Benishangul Gumz,Total Cockerels,135042
2018,Benishangul Gumz,Total Cockerels,126398
2019,Benishangul Gumz,Total Cockerels,76816
2020,Benishangul Gumz,Total Cockerels,93537
2003,Dire Dawa,Total Cockerels,1651
2004,Dire Dawa,Total Cockerels,2086
2005,Dire Dawa,Total Cockerels,2017
2006,Dire Dawa,Total Cockerels,2075
2007,Dire Dawa,Total Cockerels,3343
2008,Dire Dawa,Total Cockerels,2494
2009,Dire Dawa,Total Cockerels,1640
2010,Dire Dawa,Total Cockerels,3551
2011,Dire Dawa,Total Cockerels,2965
2012,Dire Dawa,Total Cockerels,3966
2013,Dire Dawa,Total Cockerels,4350
2014,Dire Dawa,Total Cockerels,3357
2015,Dire Dawa,Total Cockerels,4703
2016,Dire Dawa,Total Cockerels,5167
2017,Dire Dawa,Total Cockerels,5756
2018,Dire Dawa,Total Cockerels,4380
2019,Dire Dawa,Total Cockerels,3714
2020,Dire Dawa,Total Cockerels,3429
2003,Gambela,Total Cockerels,0
2004,Gambela,Total Cockerels,0
2004,Gambela,Total Cockerels,0
2006,Gambela,Total Cockerels,0
2007,Gambela,Total Cockerels,17737
2008,Gambela,Total Cockerels,20580
2009,Gambela,Total Cockerels,19413
2010,Gambela,Total Cockerels,29946
2011,Gambela,Total Cockerels,25642
2012,Gambela,Total Cockerels,27017
2013,Gambela,Total Cockerels,30283
2014,Gambela,Total Cockerels,26763
2015,Gambela,Total Cockerels,34372
2016,Gambela,Total Cockerels,30557
2017,Gambela,Total Cockerels,23520
2018,Gambela,Total Cockerels,50358
2019,Gambela,Total Cockerels,19270
2020,Gambela,Total Cockerels,30215
2003,Harari,Total Cockerels,2872
2004,Harari,Total Cockerels,2351
2005,Harari,Total Cockerels,2320
2006,Harari,Total Cockerels,3011
2007,Harari,Total Cockerels,2249
2008,Harari,Total Cockerels,2185
2009,Harari,Total Cockerels,2441
2010,Harari,Total Cockerels,3320
2011,Harari,Total Cockerels,2465
2012,Harari,Total Cockerels,4830
2013,Harari,Total Cockerels,4207
2014,Harari,Total Cockerels,5100
2015,Harari,Total Cockerels,3155
2016,Harari,Total Cockerels,6922
2017,Harari,Total Cockerels,5999
2018,Harari,Total Cockerels,6123
2019,Harari,Total Cockerels,5977
2020,Harari,Total Cockerels,5890
2003,Oromoa,Total Cockerels,805757
2004,Oromoa,Total Cockerels,548093
2005,Oromoa,Total Cockerels,519200
2006,Oromoa,Total Cockerels,620296
2007,Oromoa,Total Cockerels,726816
2008,Oromoa,Total Cockerels,591419
2009,Oromoa,Total Cockerels,828175
2010,Oromoa,Total Cockerels,1035228
2011,Oromoa,Total Cockerels,700271
2012,Oromoa,Total Cockerels,1003037
2013,Oromoa,Total Cockerels,974262
2014,Oromoa,Total Cockerels,1011007
2015,Oromoa,Total Cockerels,1053418
2016,Oromoa,Total Cockerels,1071092
2017,Oromoa,Total Cockerels,1085177
2018,Oromoa,Total Cockerels,1174038
2019,Oromoa,Total Cockerels,767650
2020,Oromoa,Total Cockerels,1041989
2003,SNNPR,Total Cockerels,537822
2004,SNNPR,Total Cockerels,330061
2005,SNNPR,Total Cockerels,299392
2006,SNNPR,Total Cockerels,289862
2007,SNNPR,Total Cockerels,371034
2008,SNNPR,Total Cockerels,291852
2009,SNNPR,Total Cockerels,465289
2010,SNNPR,Total Cockerels,608503
2011,SNNPR,Total Cockerels,321544
2012,SNNPR,Total Cockerels,434884
2013,SNNPR,Total Cockerels,512046
2014,SNNPR,Total Cockerels,607082
2015,SNNPR,Total Cockerels,528186
2016,SNNPR,Total Cockerels,628127
2017,SNNPR,Total Cockerels,640488
2018,SNNPR,Total Cockerels,651591
2019,SNNPR,Total Cockerels,392465
2020,SNNPR,Total Cockerels,424365
2003,Somali,Total Cockerels,11314
2004,Somali,Total Cockerels,9182
2005,Somali,Total Cockerels,4371
2006,Somali,Total Cockerels,6252
2007,Somali,Total Cockerels,10046
2008,Somali,Total Cockerels,6925
2009,Somali,Total Cockerels,5150
2010,Somali,Total Cockerels,11396
2011,Somali,Total Cockerels,8803
2012,Somali,Total Cockerels,10678
2013,Somali,Total Cockerels,10471
2014,Somali,Total Cockerels,5706
2015,Somali,Total Cockerels,13108
2016,Somali,Total Cockerels,11619
2017,Somali,Total Cockerels,21874
2018,Somali,Total Cockerels,21874
2019,Somali,Total Cockerels,141789
2020,Somali,Total Cockerels,26517
2003,Tigray,Total Cockerels,288938
2004,Tigray,Total Cockerels,231157
2005,Tigray,Total Cockerels,211469
2006,Tigray,Total Cockerels,264215
2007,Tigray,Total Cockerels,337698
2008,Tigray,Total Cockerels,257664
2009,Tigray,Total Cockerels,334576
2010,Tigray,Total Cockerels,295208
2011,Tigray,Total Cockerels,368941
2012,Tigray,Total Cockerels,347830
2013,Tigray,Total Cockerels,396111
2014,Tigray,Total Cockerels,472761
2015,Tigray,Total Cockerels,372105
2016,Tigray,Total Cockerels,394174
2017,Tigray,Total Cockerels,468966
2018,Tigray,Total Cockerels,388264
2019,Tigray,Total Cockerels,375264
2020,Tigray,Total Cockerels,375264
2003,Addis Ababa,Total Pullets,4815
2004,Addis Ababa,Total Pullets,3138
2005,Addis Ababa,Total Pullets,1251
2006,Addis Ababa,Total Pullets,1607
2007,Addis Ababa,Total Pullets,0
2008,Addis Ababa,Total Pullets,0
2009,Addis Ababa,Total Pullets,0
2010,Addis Ababa,Total Pullets,0
2011,Addis Ababa,Total Pullets,0
2012,Addis Ababa,Total Pullets,0
2013,Addis Ababa,Total Pullets,0
2014,Addis Ababa,Total Pullets,0
2015,Addis Ababa,Total Pullets,0
2016,Addis Ababa,Total Pullets,0
2017,Addis Ababa,Total Pullets,0
2018,Addis Ababa,Total Pullets,0
2010,Addis Ababa,Total Pullets,0
2020,Addis Ababa,Total Pullets,0
2003,Afar,Total Pullets,4073
2004,Afar,Total Pullets,4231
2005,Afar,Total Pullets,3899
2006,Afar,Total Pullets,3755
2007,Afar,Total Pullets,6070
2008,Afar,Total Pullets,2269
2009,Afar,Total Pullets,2090
2010,Afar,Total Pullets,7568
2011,Afar,Total Pullets,5856
2012,Afar,Total Pullets,6679
2013,Afar,Total Pullets,13699
2014,Afar,Total Pullets,13039
2015,Afar,Total Pullets,14942
2016,Afar,Total Pullets,24130
2017,Afar,Total Pullets,17610
2018,Afar,Total Pullets,21151
2019,Afar,Total Pullets,8295
2020,Afar,Total Pullets,9271
2003,Amhara,Total Pullets,914636
2004,Amhara,Total Pullets,790077
2005,Amhara,Total Pullets,861632
2006,Amhara,Total Pullets,861446
2007,Amhara,Total Pullets,1139372
2008,Amhara,Total Pullets,1113784
2009,Amhara,Total Pullets,1149408
2010,Amhara,Total Pullets,1403711
2011,Amhara,Total Pullets,1298397
2012,Amhara,Total Pullets,1406185
2013,Amhara,Total Pullets,1387676
2014,Amhara,Total Pullets,1867420
2015,Amhara,Total Pullets,2009256
2016,Amhara,Total Pullets,2125245
2017,Amhara,Total Pullets,1955970
2018,Amhara,Total Pullets,2275066
2019,Amhara,Total Pullets,1948672
2020,Amhara,Total Pullets,2268056
2003,Benishangul Gumz,Total Pullets,83637
2004,Benishangul Gumz,Total Pullets,78263
2005,Benishangul Gumz,Total Pullets,62787
2006,Benishangul Gumz,Total Pullets,85083
2007,Benishangul Gumz,Total Pullets,71534
2008,Benishangul Gumz,Total Pullets,78772
2009,Benishangul Gumz,Total Pullets,101935
2010,Benishangul Gumz,Total Pullets,132891
2011,Benishangul Gumz,Total Pullets,136486
2012,Benishangul Gumz,Total Pullets,158256
2013,Benishangul Gumz,Total Pullets,123442
2014,Benishangul Gumz,Total Pullets,157574
2015,Benishangul Gumz,Total Pullets,175575
2016,Benishangul Gumz,Total Pullets,163471
2017,Benishangul Gumz,Total Pullets,217660
2018,Benishangul Gumz,Total Pullets,203239
2019,Benishangul Gumz,Total Pullets,126428
2020,Benishangul Gumz,Total Pullets,153460
2003,Dire Dawa,Total Pullets,3857
2004,Dire Dawa,Total Pullets,4641
2005,Dire Dawa,Total Pullets,5091
2006,Dire Dawa,Total Pullets,3986
2007,Dire Dawa,Total Pullets,4706
2008,Dire Dawa,Total Pullets,4391
2009,Dire Dawa,Total Pullets,4817
2010,Dire Dawa,Total Pullets,9760
2011,Dire Dawa,Total Pullets,11831
2012,Dire Dawa,Total Pullets,9044
2013,Dire Dawa,Total Pullets,14680
2014,Dire Dawa,Total Pullets,8348
2015,Dire Dawa,Total Pullets,8929
2016,Dire Dawa,Total Pullets,12679
2017,Dire Dawa,Total Pullets,0
2018,Dire Dawa,Total Pullets,22884
2019,Dire Dawa,Total Pullets,22840
2020,Dire Dawa,Total Pullets,12773
2003,Gambela,Total Pullets,0
2004,Gambela,Total Pullets,0
2004,Gambela,Total Pullets,0
2006,Gambela,Total Pullets,0
2007,Gambela,Total Pullets,22758
2008,Gambela,Total Pullets,26325
2009,Gambela,Total Pullets,27718
2010,Gambela,Total Pullets,45301
2011,Gambela,Total Pullets,33092
2012,Gambela,Total Pullets,33984
2013,Gambela,Total Pullets,42495
2014,Gambela,Total Pullets,39903
2015,Gambela,Total Pullets,44246
2016,Gambela,Total Pullets,49244
2017,Gambela,Total Pullets,37558
2018,Gambela,Total Pullets,61726
2019,Gambela,Total Pullets,28684
2020,Gambela,Total Pullets,44068
2003,Harari,Total Pullets,4294
2004,Harari,Total Pullets,4011
2005,Harari,Total Pullets,2985
2006,Harari,Total Pullets,3938
2007,Harari,Total Pullets,3628
2008,Harari,Total Pullets,2644
2009,Harari,Total Pullets,4926
2010,Harari,Total Pullets,6198
2011,Harari,Total Pullets,5011
2012,Harari,Total Pullets,6600
2013,Harari,Total Pullets,7773
2014,Harari,Total Pullets,7631
2015,Harari,Total Pullets,7655
2016,Harari,Total Pullets,11824
2017,Harari,Total Pullets,10543
2018,Harari,Total Pullets,6145
2019,Harari,Total Pullets,10842
2020,Harari,Total Pullets,18694
2003,Oromoa,Total Pullets,1176931
2004,Oromoa,Total Pullets,1330149
2005,Oromoa,Total Pullets,1051623
2006,Oromoa,Total Pullets,1106541
2007,Oromoa,Total Pullets,1295052
2008,Oromoa,Total Pullets,1077025
2009,Oromoa,Total Pullets,1452045
2010,Oromoa,Total Pullets,1689820
2011,Oromoa,Total Pullets,1421793
2012,Oromoa,Total Pullets,1788509
2013,Oromoa,Total Pullets,1809784
2014,Oromoa,Total Pullets,1957266
2015,Oromoa,Total Pullets,1870560
2016,Oromoa,Total Pullets,1917935
2017,Oromoa,Total Pullets,1890865
2018,Oromoa,Total Pullets,2037559
2019,Oromoa,Total Pullets,1469690
2020,Oromoa,Total Pullets,2076474
2003,SNNPR,Total Pullets,828229
2004,SNNPR,Total Pullets,646799
2005,SNNPR,Total Pullets,595561
2006,SNNPR,Total Pullets,576233
2007,SNNPR,Total Pullets,693096
2008,SNNPR,Total Pullets,525270
2009,SNNPR,Total Pullets,873079
2010,SNNPR,Total Pullets,1108252
2011,SNNPR,Total Pullets,594235
2012,SNNPR,Total Pullets,813420
2013,SNNPR,Total Pullets,949614
2014,SNNPR,Total Pullets,1037175
2015,SNNPR,Total Pullets,993284
2016,SNNPR,Total Pullets,1164059
2017,SNNPR,Total Pullets,1145788
2018,SNNPR,Total Pullets,1219790
2019,SNNPR,Total Pullets,811995
2020,SNNPR,Total Pullets,885038
2003,Somali,Total Pullets,16202
2004,Somali,Total Pullets,18668
2005,Somali,Total Pullets,7489
2006,Somali,Total Pullets,11445
2007,Somali,Total Pullets,8898
2008,Somali,Total Pullets,8459
2009,Somali,Total Pullets,4936
2010,Somali,Total Pullets,9521
2011,Somali,Total Pullets,11807
2012,Somali,Total Pullets,14133
2013,Somali,Total Pullets,17606
2014,Somali,Total Pullets,14385
2015,Somali,Total Pullets,17971
2016,Somali,Total Pullets,17796
2017,Somali,Total Pullets,0
2018,Somali,Total Pullets,0
2019,Somali,Total Pullets,229552
2020,Somali,Total Pullets,37870
2003,Tigray,Total Pullets,436586
2004,Tigray,Total Pullets,357240
2005,Tigray,Total Pullets,362637
2006,Tigray,Total Pullets,402889
2007,Tigray,Total Pullets,522919
2008,Tigray,Total Pullets,431855
2009,Tigray,Total Pullets,484898
2010,Tigray,Total Pullets,465162
2011,Tigray,Total Pullets,606742
2012,Tigray,Total Pullets,626952
2013,Tigray,Total Pullets,679603
2014,Tigray,Total Pullets,811316
2015,Tigray,Total Pullets,789880
2016,Tigray,Total Pullets,759956
2017,Tigray,Total Pullets,831624
2018,Tigray,Total Pullets,747999
2019,Tigray,Total Pullets,781141
2020,Tigray,Total Pullets,781141
2003,Addis Ababa,Total Nonlaying Hens,1599
2004,Addis Ababa,Total Nonlaying Hens,283
2005,Addis Ababa,Total Nonlaying Hens,692
2006,Addis Ababa,Total Nonlaying Hens,228
2007,Addis Ababa,Total Nonlaying Hens,0
2008,Addis Ababa,Total Nonlaying Hens,0
2009,Addis Ababa,Total Nonlaying Hens,0
2010,Addis Ababa,Total Nonlaying Hens,0
2011,Addis Ababa,Total Nonlaying Hens,0
2012,Addis Ababa,Total Nonlaying Hens,0
2013,Addis Ababa,Total Nonlaying Hens,0
2014,Addis Ababa,Total Nonlaying Hens,0
2015,Addis Ababa,Total Nonlaying Hens,0
2016,Addis Ababa,Total Nonlaying Hens,0
2017,Addis Ababa,Total Nonlaying Hens,0
2018,Addis Ababa,Total Nonlaying Hens,0
2010,Addis Ababa,Total Nonlaying Hens,0
2020,Addis Ababa,Total Nonlaying Hens,0
2003,Afar,Total Nonlaying Hens,3169
2004,Afar,Total Nonlaying Hens,1379
2005,Afar,Total Nonlaying Hens,3658
2006,Afar,Total Nonlaying Hens,2116
2007,Afar,Total Nonlaying Hens,6544
2008,Afar,Total Nonlaying Hens,1198
2009,Afar,Total Nonlaying Hens,3524
2010,Afar,Total Nonlaying Hens,7084
2011,Afar,Total Nonlaying Hens,3769
2012,Afar,Total Nonlaying Hens,4526
2013,Afar,Total Nonlaying Hens,9727
2014,Afar,Total Nonlaying Hens,13046
2015,Afar,Total Nonlaying Hens,11809
2016,Afar,Total Nonlaying Hens,13596
2017,Afar,Total Nonlaying Hens,0
2018,Afar,Total Nonlaying Hens,8200
2019,Afar,Total Nonlaying Hens,6979
2020,Afar,Total Nonlaying Hens,9886
2003,Amhara,Total Nonlaying Hens,391835
2004,Amhara,Total Nonlaying Hens,300549
2005,Amhara,Total Nonlaying Hens,324241
2006,Amhara,Total Nonlaying Hens,309848
2007,Amhara,Total Nonlaying Hens,397780
2008,Amhara,Total Nonlaying Hens,482397
2009,Amhara,Total Nonlaying Hens,383892
2010,Amhara,Total Nonlaying Hens,475076
2011,Amhara,Total Nonlaying Hens,439879
2012,Amhara,Total Nonlaying Hens,355079
2013,Amhara,Total Nonlaying Hens,387659
2014,Amhara,Total Nonlaying Hens,401764
2015,Amhara,Total Nonlaying Hens,356160
2016,Amhara,Total Nonlaying Hens,394725
2017,Amhara,Total Nonlaying Hens,358673
2018,Amhara,Total Nonlaying Hens,565085
2019,Amhara,Total Nonlaying Hens,718594
2020,Amhara,Total Nonlaying Hens,780093
2003,Benishangul Gumz,Total Nonlaying Hens,26844
2004,Benishangul Gumz,Total Nonlaying Hens,19429
2005,Benishangul Gumz,Total Nonlaying Hens,12894
2006,Benishangul Gumz,Total Nonlaying Hens,17297
2007,Benishangul Gumz,Total Nonlaying Hens,18253
2008,Benishangul Gumz,Total Nonlaying Hens,16209
2009,Benishangul Gumz,Total Nonlaying Hens,13644
2010,Benishangul Gumz,Total Nonlaying Hens,26509
2011,Benishangul Gumz,Total Nonlaying Hens,25491
2012,Benishangul Gumz,Total Nonlaying Hens,25662
2013,Benishangul Gumz,Total Nonlaying Hens,24725
2014,Benishangul Gumz,Total Nonlaying Hens,42022
2015,Benishangul Gumz,Total Nonlaying Hens,19344
2016,Benishangul Gumz,Total Nonlaying Hens,12298
2017,Benishangul Gumz,Total Nonlaying Hens,16879
2018,Benishangul Gumz,Total Nonlaying Hens,30290
2019,Benishangul Gumz,Total Nonlaying Hens,33158
2020,Benishangul Gumz,Total Nonlaying Hens,43006
2003,Dire Dawa,Total Nonlaying Hens,1209
2004,Dire Dawa,Total Nonlaying Hens,2106
2005,Dire Dawa,Total Nonlaying Hens,2310
2006,Dire Dawa,Total Nonlaying Hens,1654
2007,Dire Dawa,Total Nonlaying Hens,1679
2008,Dire Dawa,Total Nonlaying Hens,2767
2009,Dire Dawa,Total Nonlaying Hens,1729
2010,Dire Dawa,Total Nonlaying Hens,1089
2011,Dire Dawa,Total Nonlaying Hens,1486
2012,Dire Dawa,Total Nonlaying Hens,2518
2013,Dire Dawa,Total Nonlaying Hens,2370
2014,Dire Dawa,Total Nonlaying Hens,2005
2015,Dire Dawa,Total Nonlaying Hens,2875
2016,Dire Dawa,Total Nonlaying Hens,1475
2017,Dire Dawa,Total Nonlaying Hens,0
2018,Dire Dawa,Total Nonlaying Hens,1532
2019,Dire Dawa,Total Nonlaying Hens,7051
2020,Dire Dawa,Total Nonlaying Hens,7620
2003,Gambela,Total Nonlaying Hens,0
2004,Gambela,Total Nonlaying Hens,0
2005,Gambela,Total Nonlaying Hens,0
2006,Gambela,Total Nonlaying Hens,0
2007,Gambela,Total Nonlaying Hens,6364
2008,Gambela,Total Nonlaying Hens,9839
2009,Gambela,Total Nonlaying Hens,11283
2010,Gambela,Total Nonlaying Hens,9433
2011,Gambela,Total Nonlaying Hens,13060
2012,Gambela,Total Nonlaying Hens,10774
2013,Gambela,Total Nonlaying Hens,6783
2014,Gambela,Total Nonlaying Hens,5025
2015,Gambela,Total Nonlaying Hens,5735
