year,region,species,population
2003,Addis Ababa,Total Cocks,5577
2004,Addis Ababa,Total Cocks,2361
2005,Addis Ababa,Total Cocks,3175
2006,Addis Ababa,Total Cocks,2813
2007,Addis Ababa,Total Cocks,0
2008,Addis Ababa,Total Cocks,0
2009,Addis Ababa,Total Cocks,0
2010,Addis Ababa,Total Cocks,0
2011,Addis Ababa,Total Cocks,0
2012,Addis Ababa,Total Cocks,0
2013,Addis Ababa,Total Cocks,0
2014,Addis Ababa,Total Cocks,0
2015,Addis Ababa,Total Cocks,0
2016,Addis Ababa,Total Cocks,0
2017,Addis Ababa,Total Cocks,0
2018,Addis Ababa,Total Cocks,0
2010,Addis Ababa,Total Cocks,0
2020,Addis Ababa,Total Cocks,0
2003,Afar,Total Cocks,5471
2004,Afar,Total Cocks,2957
2005,Afar,Total Cocks,4986
2006,Afar,Total Cocks,3430
2007,Afar,Total Cocks,6294
2008,Afar,Total Cocks,2205
2009,Afar,Total Cocks,3635
2010,Afar,Total Cocks,6961
2011,Afar,Total Cocks,5901
2012,Afar,Total Cocks,4638
2013,Afar,Total Cocks,8735
2014,Afar,Total Cocks,15170
2015,Afar,Total Cocks,12429
2016,Afar,Total Cocks,17736
2017,Afar,Total Cocks,20883
2018,Afar,Total Cocks,22090
2019,Afar,Total Cocks,17584
2020,Afar,Total Cocks,11773
2003,Amhara,Total Cocks,960894
2004,Amhara,Total Cocks,899483
2005,Amhara,Total Cocks,1045473
2006,Amhara,Total Cocks,1031463
2007,Amhara,Total Cocks,1387417
2008,Amhara,Total Cocks,1324473
2009,Amhara,Total Cocks,1406327
2010,Amhara,Total Cocks,1454716
2011,Amhara,Total Cocks,1330385
2012,Amhara,Total Cocks,1367696
2013,Amhara,Total Cocks,1293921
2014,Amhara,Total Cocks,1621646
2015,Amhara,Total Cocks,1441642
2016,Amhara,Total Cocks,1602860
2017,Amhara,Total Cocks,1496610
2018,Amhara,Total Cocks,1707181
2019,Amhara,Total Cocks,1677659
2020,Amhara,Total Cocks,1711620
2003,Benishangul Gumz,Total Cocks,58954
2004,Benishangul Gumz,Total Cocks,58238
2005,Benishangul Gumz,Total Cocks,56690
2006,Benishangul Gumz,Total Cocks,64016
2007,Benishangul Gumz,Total Cocks,69125
2008,Benishangul Gumz,Total Cocks,67322
2009,Benishangul Gumz,Total Cocks,72287
2010,Benishangul Gumz,Total Cocks,103491
2011,Benishangul Gumz,Total Cocks,94564
2012,Benishangul Gumz,Total Cocks,107911
2013,Benishangul Gumz,Total Cocks,100976
2014,Benishangul Gumz,Total Cocks,114476
2015,Benishangul Gumz,Total Cocks,115920
2016,Benishangul Gumz,Total Cocks,100776
2017,Benishangul Gumz,Total Cocks,142073
2018,Benishangul Gumz,Total Cocks,125975
2019,Benishangul Gumz,Total Cocks,93950
2020,Benishangul Gumz,Total Cocks,123193
2003,Dire Dawa,Total Cocks,4928
2004,Dire Dawa,Total Cocks,5640
2005,Dire Dawa,Total Cocks,5685
2006,Dire Dawa,Total Cocks,5990
2007,Dire Dawa,Total Cocks,6433
2008,Dire Dawa,Total Cocks,4335
2009,Dire Dawa,Total Cocks,5516
2010,Dire Dawa,Total Cocks,9265
2011,Dire Dawa,Total Cocks,8453
2012,Dire Dawa,Total Cocks,8519
2013,Dire Dawa,Total Cocks,13690
2014,Dire Dawa,Total Cocks,9874
2015,Dire Dawa,Total Cocks,7737
2016,Dire Dawa,Total Cocks,9570
2017,Dire Dawa,Total Cocks,11489
2018,Dire Dawa,Total Cocks,9616
2019,Dire Dawa,Total Cocks,11753
2020,Dire Dawa,Total Cocks,15331
2003,Gambela,Total Cocks,0
2004,Gambela,Total Cocks,0
2004,Gambela,Total Cocks,0
2006,Gambela,Total Cocks,0
2007,Gambela,Total Cocks,19732
2008,Gambela,Total Cocks,21687
2009,Gambela,Total Cocks,29410
2010,Gambela,Total Cocks,40220
2011,Gambela,Total Cocks,38979
2012,Gambela,Total Cocks,39234
2013,Gambela,Total Cocks,40992
2014,Gambela,Total Cocks,38651
2015,Gambela,Total Cocks,44363
2016,Gambela,Total Cocks,44591
2017,Gambela,Total Cocks,34388
2018,Gambela,Total Cocks,71292
2019,Gambela,Total Cocks,38964
2020,Gambela,Total Cocks,50604
2003,Harari,Total Cocks,3921
2004,Harari,Total Cocks,3704
2005,Harari,Total Cocks,3926
2006,Harari,Total Cocks,3874
2007,Harari,Total Cocks,5498
2008,Harari,Total Cocks,4504
2009,Harari,Total Cocks,5959
2010,Harari,Total Cocks,7985
2011,Harari,Total Cocks,5423
2012,Harari,Total Cocks,5635
2013,Harari,Total Cocks,9244
2014,Harari,Total Cocks,10156
2015,Harari,Total Cocks,8558
2016,Harari,Total Cocks,11648
2017,Harari,Total Cocks,14239
2018,Harari,Total Cocks,9450
2019,Harari,Total Cocks,19714
2020,Harari,Total Cocks,23645
2003,Oromoa,Total Cocks,1128826
2004,Oromoa,Total Cocks,1224477
2005,Oromoa,Total Cocks,1389282
2006,Oromoa,Total Cocks,1473876
2007,Oromoa,Total Cocks,1753623
2008,Oromoa,Total Cocks,1561158
2009,Oromoa,Total Cocks,1923636
2010,Oromoa,Total Cocks,2317365
2011,Oromoa,Total Cocks,1762989
2012,Oromoa,Total Cocks,2167299
2013,Oromoa,Total Cocks,2207650
2014,Oromoa,Total Cocks,2307620
2015,Oromoa,Total Cocks,2210949
2016,Oromoa,Total Cocks,2369169
2017,Oromoa,Total Cocks,2304658
2018,Oromoa,Total Cocks,2532410
2019,Oromoa,Total Cocks,2451101
2020,Oromoa,Total Cocks,2700936
