year,region,species,population
2007,SNNPR,Dairy camels,0
2008,SNNPR,Dairy camels,171486
2009,SNNPR,Dairy camels,0
2010,SNNPR,Dairy camels,0
2011,SNNPR,Dairy camels,0
2012,SNNPR,Dairy camels,0
2013,SNNPR,Dairy camels,0
2014,SNNPR,Dairy camels,0
2015,SNNPR,Dairy camels,0
2016,SNNPR,Dairy camels,0
2017,SNNPR,Dairy camels,0
2018,SNNPR,Dairy camels,0
2019,SNNPR,Dairy camels,0
2020,SNNPR,Dairy camels,0
2003,Somali,Dairy camels,52434
2004,Somali,Dairy camels,52773
2005,Somali,Dairy camels,39557
2006,Somali,Dairy camels,102921
2007,Somali,Dairy camels,108524
2008,Somali,Dairy camels,115387
2009,Somali,Dairy camels,65024
2010,Somali,Dairy camels,102735
2011,Somali,Dairy camels,60313
2012,Somali,Dairy camels,99535
2013,Somali,Dairy camels,68070
2014,Somali,Dairy camels,92452
2015,Somali,Dairy camels,63985
2016,Somali,Dairy camels,49557
2017,Somali,Dairy camels,61103
2018,Somali,Dairy camels,32356
2019,Somali,Dairy camels,1597550
2020,Somali,Dairy camels,2489655
2003,Tigray,Dairy camels,0
2004,Tigray,Dairy camels,0
2005,Tigray,Dairy camels,0
2006,Tigray,Dairy camels,0
2007,Tigray,Dairy camels,0
2008,Tigray,Dairy camels,268718
2009,Tigray,Dairy camels,0
2010,Tigray,Dairy camels,0
2011,Tigray,Dairy camels,0
2012,Tigray,Dairy camels,0
2013,Tigray,Dairy camels,0
2014,Tigray,Dairy camels,0
2015,Tigray,Dairy camels,0
2016,Tigray,Dairy camels,0
2017,Tigray,Dairy camels,0
2018,Tigray,Dairy camels,0
2019,Tigray,Dairy camels,0
2020,Tigray,Dairy camels,0
2003,Addis Ababa,Milking camels,0
2004,Addis Ababa,Milking camels,0
2005,Addis Ababa,Milking camels,0
2006,Addis Ababa,Milking camels,0
2007,Addis Ababa,Milking camels,0
2008,Addis Ababa,Milking camels,0
2009,Addis Ababa,Milking camels,0
2010,Addis Ababa,Milking camels,0
2011,Addis Ababa,Milking camels,0
2012,Addis Ababa,Milking camels,0
2013,Addis Ababa,Milking camels,0
2014,Addis Ababa,Milking camels,0
2015,Addis Ababa,Milking camels,0
2016,Addis Ababa,Milking camels,0
2017,Addis Ababa,Milking camels,0
2018,Addis Ababa,Milking camels,0
2019,Addis Ababa,Milking camels,0
2020,Addis Ababa,Milking camels,0
2003,Afar,Milking camels,65549
2004,Afar,Milking camels,27049
2005,Afar,Milking camels,28491
2006,Afar,Milking camels,27603
2007,Afar,Milking camels,32862
2008,Afar,Milking camels,38963
2009,Afar,Milking camels,34035
2010,Afar,Milking camels,61773
2011,Afar,Milking camels,51815
2012,Afar,Milking camels,37014
2013,Afar,Milking camels,88973
2014,Afar,Milking camels,89375
2015,Afar,Milking camels,78076
2016,Afar,Milking camels,85225
2017,Afar,Milking camels,292277
2018,Afar,Milking camels,272969
2019,Afar,Milking camels,281534
2020,Afar,Milking camels,296166
2003,Amhara,Milking camels,0
2004,Amhara,Milking camels,0
2005,Amhara,Milking camels,0
2006,Amhara,Milking camels,0
2007,Amhara,Milking camels,0
2008,Amhara,Milking camels,0
2009,Amhara,Milking camels,0
2010,Amhara,Milking camels,0
2011,Amhara,Milking camels,0
2012,Amhara,Milking camels,0
2013,Amhara,Milking camels,0
2014,Amhara,Milking camels,0
2015,Amhara,Milking camels,0
2016,Amhara,Milking camels,0
2017,Amhara,Milking camels,0
2018,Amhara,Milking camels,0
2019,Amhara,Milking camels,84606
2020,Amhara,Milking camels,0
2003,Benishangul Gumz,Milking camels,0
2004,Benishangul Gumz,Milking camels,0
2005,Benishangul Gumz,Milking camels,0
2006,Benishangul Gumz,Milking camels,0
2007,Benishangul Gumz,Milking camels,0
2008,Benishangul Gumz,Milking camels,0
2009,Benishangul Gumz,Milking camels,0
2010,Benishangul Gumz,Milking camels,0
2011,Benishangul Gumz,Milking camels,0
2012,Benishangul Gumz,Milking camels,0
2013,Benishangul Gumz,Milking camels,0
2014,Benishangul Gumz,Milking camels,0
2015,Benishangul Gumz,Milking camels,0
2016,Benishangul Gumz,Milking camels,0
2017,Benishangul Gumz,Milking camels,0
2018,Benishangul Gumz,Milking camels,0
2019,Benishangul Gumz,Milking camels,0
2020,Benishangul Gumz,Milking camels,0
2003,Dire Dawa,Milking camels,1579
2004,Dire Dawa,Milking camels,734
2005,Dire Dawa,Milking camels,1161
2006,Dire Dawa,Milking camels,1337
2007,Dire Dawa,Milking camels,990
2008,Dire Dawa,Milking camels,576
2009,Dire Dawa,Milking camels,1136
2010,Dire Dawa,Milking camels,1131
2011,Dire Dawa,Milking camels,1209
2012,Dire Dawa,Milking camels,947
2013,Dire Dawa,Milking camels,1340
2014,Dire Dawa,Milking camels,2926
2015,Dire Dawa,Milking camels,982
2016,Dire Dawa,Milking camels,898
2017,Dire Dawa,Milking camels,0
2018,Dire Dawa,Milking camels,882
2019,Dire Dawa,Milking camels,1825
2020,Dire Dawa,Milking camels,1586
2003,Gambela,Milking camels,0
2004,Gambela,Milking camels,0
2005,Gambela,Milking camels,0
2006,Gambela,Milking camels,0
2007,Gambela,Milking camels,0
2008,Gambela,Milking camels,0
2009,Gambela,Milking camels,0
2010,Gambela,Milking camels,0
2011,Gambela,Milking camels,0
2012,Gambela,Milking camels,0
2013,Gambela,Milking camels,0
2014,Gambela,Milking camels,0
2015,Gambela,Milking camels,0
2016,Gambela,Milking camels,0
2017,Gambela,Milking camels,0
2018,Gambela,Milking camels,0
2019,Gambela,Milking camels,0
2020,Gambela,Milking camels,0
2003,Harari,Milking camels,0
2004,Harari,Milking camels,0
2005,Harari,Milking camels,0
2006,Harari,Milking camels,0
2007,Harari,Milking camels,0
2008,Harari,Milking camels,0
2009,Harari,Milking camels,0
2010,Harari,Milking camels,0
2011,Harari,Milking camels,871
2012,Harari,Milking camels,0
2013,Harari,Milking camels,1699
2014,Harari,Milking camels,1181
2015,Harari,Milking camels,0
2016,Harari,Milking camels,0
2017,Harari,Milking camels,0
2018,Harari,Milking camels,0
2019,Harari,Milking camels,0
2020,Harari,Milking camels,0
2003,Oromoa,Milking camels,48239
2004,Oromoa,Milking camels,51499
2005,Oromoa,Milking camels,35221
2006,Oromoa,Milking camels,31551
2007,Oromoa,Milking camels,0
2008,Oromoa,Milking camels,71826
2009,Oromoa,Milking camels,64675
2010,Oromoa,Milking camels,91838
2011,Oromoa,Milking camels,103317
2012,Oromoa,Milking camels,70984
2013,Oromoa,Milking camels,98408
2014,Oromoa,Milking camels,74793
2015,Oromoa,Milking camels,119083
2016,Oromoa,Milking camels,80820
2017,Oromoa,Milking camels,182895
2018,Oromoa,Milking camels,141561
2019,Oromoa,Milking camels,350337
2020,Oromoa,Milking camels,191532
2003,SNNPR,Milking camels,0
2004,SNNPR,Milking camels,0
2005,SNNPR,Milking camels,0
2006,SNNPR,Milking camels,0
2007,SNNPR,Milking camels,0
2008,SNNPR,Milking camels,0
2009,SNNPR,Milking camels,0
2010,SNNPR,Milking camels,0
2011,SNNPR,Milking camels,0
2012,SNNPR,Milking camels,0
2013,SNNPR,Milking camels,0
2014,SNNPR,Milking camels,0
2015,SNNPR,Milking camels,0
2016,SNNPR,Milking camels,0
2017,SNNPR,Milking camels,0
2018,SNNPR,Milking camels,0
2019,SNNPR,Milking camels,0
2020,SNNPR,Milking camels,0
2003,Somali,Milking camels,31451
2004,Somali,Milking camels,27583
2005,Somali,Milking camels,23759
2006,Somali,Milking camels,48790
2007,Somali,Milking camels,54590
2008,Somali,Milking camels,47156
2009,Somali,Milking camels,40412
2010,Somali,Milking camels,62846
2011,Somali,Milking camels,52340
2012,Somali,Milking camels,49842
2013,Somali,Milking camels,61293
2014,Somali,Milking camels,64937
2015,Somali,Milking camels,56988
2016,Somali,Milking camels,58481
2017,Somali,Milking camels,87100
2018,Somali,Milking camels,43550
2019,Somali,Milking camels,985281
2020,Somali,Milking camels,2589432
2003,Tigray,Milking camels,0
2004,Tigray,Milking camels,0
2005,Tigray,Milking camels,0
2006,Tigray,Milking camels,3229
2007,Tigray,Milking camels,0
2008,Tigray,Milking camels,0
2009,Tigray,Milking camels,0
2010,Tigray,Milking camels,0
2011,Tigray,Milking camels,0
2012,Tigray,Milking camels,0
2013,Tigray,Milking camels,0
2014,Tigray,Milking camels,0
2015,Tigray,Milking camels,0
2016,Tigray,Milking camels,0
2017,Tigray,Milking camels,0
2018,Tigray,Milking camels,0
2019,Tigray,Milking camels,47002
2020,Tigray,Milking camels,47002
2003,Addis Ababa,Males: Transportation,0
2004,Addis Ababa,Males: Transportation,0
2005,Addis Ababa,Males: Transportation,0
2006,Addis Ababa,Males: Transportation,0
2007,Addis Ababa,Males: Transportation,0
2008,Addis Ababa,Males: Transportation,0
2009,Addis Ababa,Males: Transportation,0
2010,Addis Ababa,Males: Transportation,0
2011,Addis Ababa,Males: Transportation,0
2012,Addis Ababa,Males: Transportation,0
2013,Addis Ababa,Males: Transportation,0
2014,Addis Ababa,Males: Transportation,0
2015,Addis Ababa,Males: Transportation,0
2016,Addis Ababa,Males: Transportation,0
2017,Addis Ababa,Males: Transportation,0
2018,Addis Ababa,Males: Transportation,0
2019,Addis Ababa,Males: Transportation,0
2020,Addis Ababa,Males: Transportation,0
2003,Afar,Males: Transportation,13483
2004,Afar,Males: Transportation,11540
2005,Afar,Males: Transportation,14091
2006,Afar,Males: Transportation,13528
2007,Afar,Males: Transportation,20918
2008,Afar,Males: Transportation,25049
2009,Afar,Males: Transportation,30340
2010,Afar,Males: Transportation,42080
2011,Afar,Males: Transportation,36676
2012,Afar,Males: Transportation,35165
2013,Afar,Males: Transportation,49080
2014,Afar,Males: Transportation,48818
2015,Afar,Males: Transportation,46548
2016,Afar,Males: Transportation,57901
2017,Afar,Males: Transportation,41658
2018,Afar,Males: Transportation,137054
2019,Afar,Males: Transportation,192995
2020,Afar,Males: Transportation,173733
2003,Amhara,Males: Transportation,12884
2004,Amhara,Males: Transportation,10036
2005,Amhara,Males: Transportation,8678
2006,Amhara,Males: Transportation,24393
2007,Amhara,Males: Transportation,33445
2008,Amhara,Males: Transportation,31640
2009,Amhara,Males: Transportation,21641
2010,Amhara,Males: Transportation,39862
2011,Amhara,Males: Transportation,45994
2012,Amhara,Males: Transportation,46150
2013,Amhara,Males: Transportation,53396
2014,Amhara,Males: Transportation,50883
2015,Amhara,Males: Transportation,50862
2016,Amhara,Males: Transportation,54402
2017,Amhara,Males: Transportation,113063
2018,Amhara,Males: Transportation,30253
2019,Amhara,Males: Transportation,47011
2020,Amhara,Males: Transportation,37868
2003,Benishangul Gumz,Males: Transportation,0
2004,Benishangul Gumz,Males: Transportation,0
2005,Benishangul Gumz,Males: Transportation,0
2006,Benishangul Gumz,Males: Transportation,0
2007,Benishangul Gumz,Males: Transportation,0
2008,Benishangul Gumz,Males: Transportation,0
2009,Benishangul Gumz,Males: Transportation,0
2010,Benishangul Gumz,Males: Transportation,0
2011,Benishangul Gumz,Males: Transportation,0
2012,Benishangul Gumz,Males: Transportation,0
2013,Benishangul Gumz,Males: Transportation,0
2014,Benishangul Gumz,Males: Transportation,0
2015,Benishangul Gumz,Males: Transportation,0
2016,Benishangul Gumz,Males: Transportation,0
2017,Benishangul Gumz,Males: Transportation,0
2018,Benishangul Gumz,Males: Transportation,0
2019,Benishangul Gumz,Males: Transportation,0
2020,Benishangul Gumz,Males: Transportation,0
2003,Dire Dawa,Males: Transportation,2626
2004,Dire Dawa,Males: Transportation,2027
2005,Dire Dawa,Males: Transportation,1759
2006,Dire Dawa,Males: Transportation,1943
2007,Dire Dawa,Males: Transportation,1454
2008,Dire Dawa,Males: Transportation,1753
2009,Dire Dawa,Males: Transportation,2307
2010,Dire Dawa,Males: Transportation,1911
2011,Dire Dawa,Males: Transportation,2339
2012,Dire Dawa,Males: Transportation,1835
2013,Dire Dawa,Males: Transportation,2066
2014,Dire Dawa,Males: Transportation,2070
2015,Dire Dawa,Males: Transportation,1856
2016,Dire Dawa,Males: Transportation,3196
2017,Dire Dawa,Males: Transportation,3773
2018,Dire Dawa,Males: Transportation,3452
2019,Dire Dawa,Males: Transportation,3468
2020,Dire Dawa,Males: Transportation,3646
2003,Gambela,Males: Transportation,0
2004,Gambela,Males: Transportation,0
2005,Gambela,Males: Transportation,0
2006,Gambela,Males: Transportation,0
2007,Gambela,Males: Transportation,0
2008,Gambela,Males: Transportation,0
2009,Gambela,Males: Transportation,0
2010,Gambela,Males: Transportation,0
2011,Gambela,Males: Transportation,0
2012,Gambela,Males: Transportation,0
2013,Gambela,Males: Transportation,0
2014,Gambela,Males: Transportation,0
2015,Gambela,Males: Transportation,0
2016,Gambela,Males: Transportation,0
2017,Gambela,Males: Transportation,0
2018,Gambela,Males: Transportation,0
2019,Gambela,Males: Transportation,0
2020,Gambela,Males: Transportation,0
2003,Harari,Males: Transportation,0
2004,Harari,Males: Transportation,0
2005,Harari,Males: Transportation,0
2006,Harari,Males: Transportation,0
2007,Harari,Males: Transportation,0
2008,Harari,Males: Transportation,0
2009,Harari,Males: Transportation,0
2010,Harari,Males: Transportation,0
2011,Harari,Males: Transportation,0
2012,Harari,Males: Transportation,0
2013,Harari,Males: Transportation,0
2014,Harari,Males: Transportation,0
2015,Harari,Males: Transportation,0
2016,Harari,Males: Transportation,0
2017,Harari,Males: Transportation,0
2018,Harari,Males: Transportation,0
2019,Harari,Males: Transportation,0
2020,Harari,Males: Transportation,0
2003,Oromoa,Males: Transportation,10549
2004,Oromoa,Males: Transportation,10637
2005,Oromoa,Males: Transportation,15788
2006,Oromoa,Males: Transportation,16753
2007,Oromoa,Males: Transportation,33569
2008,Oromoa,Males: Transportation,35040
2009,Oromoa,Males: Transportation,32958
2010,Oromoa,Males: Transportation,33800
2011,Oromoa,Males: Transportation,27525
2012,Oromoa,Males: Transportation,16620
2013,Oromoa,Males: Transportation,10572
2014,Oromoa,Males: Transportation,15416
2015,Oromoa,Males: Transportation,16119
2016,Oromoa,Males: Transportation,19771
2017,Oromoa,Males: Transportation,17846
2018,Oromoa,Males: Transportation,29658
2019,Oromoa,Males: Transportation,31792
2020,Oromoa,Males: Transportation,25491
2003,SNNPR,Males: Transportation,0
2004,SNNPR,Males: Transportation,0
2005,SNNPR,Males: Transportation,0
2006,SNNPR,Males: Transportation,0
2007,SNNPR,Males: Transportation,0
2008,SNNPR,Males: Transportation,0
2009,SNNPR,Males: Transportation,0
2010,SNNPR,Males: Transportation,0
2011,SNNPR,Males: Transportation,0
2012,SNNPR,Males: Transportation,0
2013,SNNPR,Males: Transportation,0
2014,SNNPR,Males: Transportation,0
2015,SNNPR,Males: Transportation,0
2016,SNNPR,Males: Transportation,0
2017,SNNPR,Males: Transportation,0
2018,SNNPR,Males: Transportation,0
2019,SNNPR,Males: Transportation,0
2020,SNNPR,Males: Transportation,0
2003,Somali,Males: Transportation,25761
2004,Somali,Males: Transportation,28210
2005,Somali,Males: Transportation,29544
2006,Somali,Males: Transportation,44103
2007,Somali,Males: Transportation,49138
2008,Somali,Males: Transportation,38550
2009,Somali,Males: Transportation,34375
2010,Somali,Males: Transportation,32738
2011,Somali,Males: Transportation,22739
2012,Somali,Males: Transportation,27179
2013,Somali,Males: Transportation,22151
2014,Somali,Males: Transportation,31447
2015,Somali,Males: Transportation,22367
2016,Somali,Males: Transportation,38379
2017,Somali,Males: Transportation,35387
2018,Somali,Males: Transportation,35387
2019,Somali,Males: Transportation,253936
2020,Somali,Males: Transportation,831973
2003,Tigray,Males: Transportation,29477
2004,Tigray,Males: Transportation,25473
2005,Tigray,Males: Transportation,26867
2006,Tigray,Males: Transportation,24921
2007,Tigray,Males: Transportation,20571
2008,Tigray,Males: Transportation,20041
2009,Tigray,Males: Transportation,23481
2010,Tigray,Males: Transportation,21282
2011,Tigray,Males: Transportation,20171
2012,Tigray,Males: Transportation,34108
2013,Tigray,Males: Transportation,39880
2014,Tigray,Males: Transportation,37197
2015,Tigray,Males: Transportation,39645
2016,Tigray,Males: Transportation,34430
2017,Tigray,Males: Transportation,32532
2018,Tigray,Males: Transportation,40145
2019,Tigray,Males: Transportation,34624
2020,Tigray,Males: Transportation,34624
2003,Addis Ababa,Males: Meat,0
2004,Addis Ababa,Males: Meat,0
2005,Addis Ababa,Males: Meat,0
2006,Addis Ababa,Males: Meat,0
2007,Addis Ababa,Males: Meat,0
2008,Addis Ababa,Males: Meat,0
2009,Addis Ababa,Males: Meat,0
2010,Addis Ababa,Males: Meat,0
2011,Addis Ababa,Males: Meat,0
2012,Addis Ababa,Males: Meat,0
2013,Addis Ababa,Males: Meat,0
2014,Addis Ababa,Males: Meat,0
2015,Addis Ababa,Males: Meat,0
2016,Addis Ababa,Males: Meat,0
2017,Addis Ababa,Males: Meat,0
2018,Addis Ababa,Males: Meat,0
2019,Addis Ababa,Males: Meat,0
2020,Addis Ababa,Males: Meat,0
2003,Afar,Males: Meat,295
2004,Afar,Males: Meat,0
2005,Afar,Males: Meat,1983
2006,Afar,Males: Meat,0
2007,Afar,Males: Meat,0
2008,Afar,Males: Meat,0
2009,Afar,Males: Meat,0
2010,Afar,Males: Meat,1637
2011,Afar,Males: Meat,0
2012,Afar,Males: Meat,0
2013,Afar,Males: Meat,0
2014,Afar,Males: Meat,0
2015,Afar,Males: Meat,0
2016,Afar,Males: Meat,0
2017,Afar,Males: Meat,0
2018,Afar,Males: Meat,0
2019,Afar,Males: Meat,0
2020,Afar,Males: Meat,0
2003,Amhara,Males: Meat,0
2004,Amhara,Males: Meat,0
2005,Amhara,Males: Meat,0
2006,Amhara,Males: Meat,0
2007,Amhara,Males: Meat,0
2008,Amhara,Males: Meat,0
2009,Amhara,Males: Meat,0
2010,Amhara,Males: Meat,0
2011,Amhara,Males: Meat,0
2012,Amhara,Males: Meat,0
2013,Amhara,Males: Meat,0
2014,Amhara,Males: Meat,0
2015,Amhara,Males: Meat,0
2016,Amhara,Males: Meat,0
2017,Amhara,Males: Meat,0
2018,Amhara,Males: Meat,0
2019,Amhara,Males: Meat,0
2020,Amhara,Males: Meat,0
2003,Benishangul Gumz,Males: Meat,0
2004,Benishangul Gumz,Males: Meat,0
2005,Benishangul Gumz,Males: Meat,0
2006,Benishangul Gumz,Males: Meat,0
2007,Benishangul Gumz,Males: Meat,0
2008,Benishangul Gumz,Males: Meat,0
2009,Benishangul Gumz,Males: Meat,0
2010,Benishangul Gumz,Males: Meat,0
2011,Benishangul Gumz,Males: Meat,0
2012,Benishangul Gumz,Males: Meat,0
2013,Benishangul Gumz,Males: Meat,0
2014,Benishangul Gumz,Males: Meat,0
2015,Benishangul Gumz,Males: Meat,0
2016,Benishangul Gumz,Males: Meat,0
2017,Benishangul Gumz,Males: Meat,0
2018,Benishangul Gumz,Males: Meat,0
2019,Benishangul Gumz,Males: Meat,0
2020,Benishangul Gumz,Males: Meat,0
2003,Dire Dawa,Males: Meat,0
2004,Dire Dawa,Males: Meat,0
2005,Dire Dawa,Males: Meat,0
2006,Dire Dawa,Males: Meat,0
2007,Dire Dawa,Males: Meat,0
2008,Dire Dawa,Males: Meat,0
2009,Dire Dawa,Males: Meat,0
2010,Dire Dawa,Males: Meat,284
2011,Dire Dawa,Males: Meat,0
2012,Dire Dawa,Males: Meat,0
2013,Dire Dawa,Males: Meat,0
2014,Dire Dawa,Males: Meat,0
2015,Dire Dawa,Males: Meat,0
2016,Dire Dawa,Males: Meat,0
2017,Dire Dawa,Males: Meat,0
2018,Dire Dawa,Males: Meat,0
2019,Dire Dawa,Males: Meat,0
2020,Dire Dawa,Males: Meat,0
2003,Gambela,Males: Meat,0
2004,Gambela,Males: Meat,0
2005,Gambela,Males: Meat,0
2006,Gambela,Males: Meat,0
2007,Gambela,Males: Meat,0
2008,Gambela,Males: Meat,0
2009,Gambela,Males: Meat,0
2010,Gambela,Males: Meat,0
2011,Gambela,Males: Meat,0
2012,Gambela,Males: Meat,0
2013,Gambela,Males: Meat,0
2014,Gambela,Males: Meat,0
2015,Gambela,Males: Meat,0
2016,Gambela,Males: Meat,0
2017,Gambela,Males: Meat,0
2018,Gambela,Males: Meat,0
2019,Gambela,Males: Meat,0
2020,Gambela,Males: Meat,0
2003,Harari,Males: Meat,0
2004,Harari,Males: Meat,0
2005,Harari,Males: Meat,0
2006,Harari,Males: Meat,0
2007,Harari,Males: Meat,0
2008,Harari,Males: Meat,0
2009,Harari,Males: Meat,0
2010,Harari,Males: Meat,0
2011,Harari,Males: Meat,0
2012,Harari,Males: Meat,0
2013,Harari,Males: Meat,0
2014,Harari,Males: Meat,0
2015,Harari,Males: Meat,0
2016,Harari,Males: Meat,0
2017,Harari,Males: Meat,0
2018,Harari,Males: Meat,0
2019,Harari,Males: Meat,0
2020,Harari,Males: Meat,0
2003,Oromoa,Males: Meat,0
2004,Oromoa,Males: Meat,0
2005,Oromoa,Males: Meat,0
2006,Oromoa,Males: Meat,0
2007,Oromoa,Males: Meat,0
2008,Oromoa,Males: Meat,5531
2009,Oromoa,Males: Meat,0
2010,Oromoa,Males: Meat,7039
2011,Oromoa,Males: Meat,11805
2012,Oromoa,Males: Meat,4246
2013,Oromoa,Males: Meat,7940
2014,Oromoa,Males: Meat,10280
2015,Oromoa,Males: Meat,3776
2016,Oromoa,Males: Meat,6350
2017,Oromoa,Males: Meat,0
2018,Oromoa,Males: Meat,0
2019,Oromoa,Males: Meat,5172
2020,Oromoa,Males: Meat,5506
2003,SNNPR,Males: Meat,0
2004,SNNPR,Males: Meat,0
2005,SNNPR,Males: Meat,0
2006,SNNPR,Males: Meat,0
2007,SNNPR,Males: Meat,0
2008,SNNPR,Males: Meat,0
2009,SNNPR,Males: Meat,0
2010,SNNPR,Males: Meat,0
2011,SNNPR,Males: Meat,0
2012,SNNPR,Males: Meat,0
2013,SNNPR,Males: Meat,0
2014,SNNPR,Males: Meat,0
2015,SNNPR,Males: Meat,0
2016,SNNPR,Males: Meat,0
2017,SNNPR,Males: Meat,0
2018,SNNPR,Males: Meat,0
2019,SNNPR,Males: Meat,0
2020,SNNPR,Males: Meat,0
2003,Somali,Males: Meat,0
2004,Somali,Males: Meat,0
2005,Somali,Males: Meat,756
2006,Somali,Males: Meat,4085
2007,Somali,Males: Meat,10656
2008,Somali,Males: Meat,10661
2009,Somali,Males: Meat,6152
2010,Somali,Males: Meat,8622
2011,Somali,Males: Meat,14786
2012,Somali,Males: Meat,0
2013,Somali,Males: Meat,7691
2014,Somali,Males: Meat,0
2015,Somali,Males: Meat,5278
2016,Somali,Males: Meat,1791
2017,Somali,Males: Meat,8524
2018,Somali,Males: Meat,8524
2019,Somali,Males: Meat,588249
2020,Somali,Males: Meat,222250
2003,Tigray,Males: Meat,0
2004,Tigray,Males: Meat,0
2005,Tigray,Males: Meat,0
2006,Tigray,Males: Meat,0
2007,Tigray,Males: Meat,0
2008,Tigray,Males: Meat,0
2009,Tigray,Males: Meat,0
2010,Tigray,Males: Meat,0
2011,Tigray,Males: Meat,0
2012,Tigray,Males: Meat,0
2013,Tigray,Males: Meat,0
2014,Tigray,Males: Meat,0
2015,Tigray,Males: Meat,0
2016,Tigray,Males: Meat,0
2017,Tigray,Males: Meat,0
2018,Tigray,Males: Meat,0
2019,Tigray,Males: Meat,0
2020,Tigray,Males: Meat,0
2003,Addis Ababa,Males: Draught,0
2004,Addis Ababa,Males: Draught,0
2005,Addis Ababa,Males: Draught,0
2006,Addis Ababa,Males: Draught,0
2007,Addis Ababa,Males: Draught,0
2008,Addis Ababa,Males: Draught,0
2009,Addis Ababa,Males: Draught,0
2010,Addis Ababa,Males: Draught,0
2011,Addis Ababa,Males: Draught,0
2012,Addis Ababa,Males: Draught,0
2013,Addis Ababa,Males: Draught,0
2014,Addis Ababa,Males: Draught,0
2015,Addis Ababa,Males: Draught,0
2016,Addis Ababa,Males: Draught,0
2017,Addis Ababa,Males: Draught,0
2018,Addis Ababa,Males: Draught,0
2019,Addis Ababa,Males: Draught,0
2020,Addis Ababa,Males: Draught,0
2003,Afar,Males: Draught,0
2004,Afar,Males: Draught,0
2005,Afar,Males: Draught,0
2006,Afar,Males: Draught,0
2007,Afar,Males: Draught,152
2008,Afar,Males: Draught,0
2009,Afar,Males: Draught,0
2010,Afar,Males: Draught,0
2011,Afar,Males: Draught,0
2012,Afar,Males: Draught,0
2013,Afar,Males: Draught,0
2014,Afar,Males: Draught,0
2015,Afar,Males: Draught,0
2016,Afar,Males: Draught,0
2017,Afar,Males: Draught,0
2018,Afar,Males: Draught,0
2019,Afar,Males: Draught,0
2020,Afar,Males: Draught,0
2003,Amhara,Males: Draught,0
2004,Amhara,Males: Draught,0
2005,Amhara,Males: Draught,0
2006,Amhara,Males: Draught,0
2007,Amhara,Males: Draught,0
2008,Amhara,Males: Draught,0
2009,Amhara,Males: Draught,0
2010,Amhara,Males: Draught,0
2011,Amhara,Males: Draught,0
2012,Amhara,Males: Draught,0
2013,Amhara,Males: Draught,0
2014,Amhara,Males: Draught,10012
2015,Amhara,Males: Draught,0
2016,Amhara,Males: Draught,0
2017,Amhara,Males: Draught,0
2018,Amhara,Males: Draught,0
2019,Amhara,Males: Draught,0
2020,Amhara,Males: Draught,0
2003,Benishangul Gumz,Males: Draught,0
2004,Benishangul Gumz,Males: Draught,0
2005,Benishangul Gumz,Males: Draught,0
2006,Benishangul Gumz,Males: Draught,0
2007,Benishangul Gumz,Males: Draught,0
2008,Benishangul Gumz,Males: Draught,0
2009,Benishangul Gumz,Males: Draught,0
2010,Benishangul Gumz,Males: Draught,0
2011,Benishangul Gumz,Males: Draught,0
2012,Benishangul Gumz,Males: Draught,0
2013,Benishangul Gumz,Males: Draught,0
2014,Benishangul Gumz,Males: Draught,0
2015,Benishangul Gumz,Males: Draught,0
2016,Benishangul Gumz,Males: Draught,0
2017,Benishangul Gumz,Males: Draught,0
2018,Benishangul Gumz,Males: Draught,0
2019,Benishangul Gumz,Males: Draught,0
2020,Benishangul Gumz,Males: Draught,0
2003,Dire Dawa,Males: Draught,0
2004,Dire Dawa,Males: Draught,0
2005,Dire Dawa,Males: Draught,0
2006,Dire Dawa,Males: Draught,0
2007,Dire Dawa,Males: Draught,0
2008,Dire Dawa,Males: Draught,0
2009,Dire Dawa,Males: Draught,0
2010,Dire Dawa,Males: Draught,0
2011,Dire Dawa,Males: Draught,0
2012,Dire Dawa,Males: Draught,0
2013,Dire Dawa,Males: Draught,0
2014,Dire Dawa,Males: Draught,0
2015,Dire Dawa,Males: Draught,0
2016,Dire Dawa,Males: Draught,0
2017,Dire Dawa,Males: Draught,0
2018,Dire Dawa,Males: Draught,0
2019,Dire Dawa,Males: Draught,0
2020,Dire Dawa,Males: Draught,0
2003,Gambela,Males: Draught,0
2004,Gambela,Males: Draught,0
2005,Gambela,Males: Draught,0
2006,Gambela,Males: Draught,0
2007,Gambela,Males: Draught,0
2008,Gambela,Males: Draught,0
2009,Gambela,Males: Draught,0
2010,Gambela,Males: Draught,0
2011,Gambela,Males: Draught,0
2012,Gambela,Males: Draught,0
2013,Gambela,Males: Draught,0
2014,Gambela,Males: Draught,0
2015,Gambela,Males: Draught,0
2016,Gambela,Males: Draught,0
2017,Gambela,Males: Draught,0
2018,Gambela,Males: Draught,0
2019,Gambela,Males: Draught,0
2020,Gambela,Males: Draught,0
2003,Harari,Males: Draught,0
2004,Harari,Males: Draught,0
2005,Harari,Males: Draught,0
2006,Harari,Males: Draught,0
2007,Harari,Males: Draught,0
2008,Harari,Males: Draught,0
2009,Harari,Males: Draught,0
2010,Harari,Males: Draught,0
2011,Harari,Males: Draught,0
2012,Harari,Males: Draught,0
2013,Harari,Males: Draught,0
2014,Harari,Males: Draught,0
2015,Harari,Males: Draught,0
2016,Harari,Males: Draught,0
2017,Harari,Males: Draught,0
2018,Harari,Males: Draught,0
